latitude,longitude,task_created_time,task_completed_time,amount,cod_received_status,task_assigned_to,task_status,flow,task_id,branch_destination,task_status_label,receiver_city,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id
-6.662407,106.3414122,2022-11-01 11:03:48 +0700,2022-11-01 17:45:55 +0700,19500,True,peacefulVenison0,done,Delivery,01b009b38a30e0f61b82,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.3,CGK,COLF01
-6.6620723,106.3417801,2022-11-01 11:03:45 +0700,2022-11-01 19:36:52 +0700,39400,True,peacefulVenison0,done,Delivery,e971778f9655b10a25a4,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,0.1,CGK,COLF01
-6.6616132,106.3458271,2022-11-01 11:03:48 +0700,2022-11-01 19:33:26 +0700,26004,True,peacefulVenison0,done,Delivery,20aaa59802759277e600,CLG,Success,"SOBANG ,RANGKASBITUN",YANG BERSANGKUTAN,D01,1,CGK,COLF01
5.5640306,95.319391,2022-11-01 17:31:21 +0700,2022-11-01 18:14:57 +0700,250000,True,boastfulSalt7,done,Delivery,6ee3943cfaa6fbd32964,BTJ,Success,"KUTA ALAM,BANDAACEH",YANG BERSANGKUTAN,D01,0.5,CGK,COLF01
5.5640305,95.319392,2022-11-01 17:31:21 +0700,2022-11-01 18:21:25 +0700,131120,True,boastfulSalt7,done,Delivery,40e0ee8f1b0e8b893921,BTJ,Success,"KUTA ALAM,BANDAACEH",YANG BERSANGKUTAN,D01,1,JOG,COLF01
5.5640398,95.3193918,2022-11-01 17:31:21 +0700,2022-11-01 18:15:40 +0700,372000,True,boastfulSalt7,done,Delivery,2c911beece3f00aad7c5,BTJ,Success,"KUTA ALAM,BANDAACEH",YANG BERSANGKUTAN,D01,1,CGK,COLF01
5.564034,95.3193896,2022-11-01 17:31:21 +0700,2022-11-01 18:16:30 +0700,250640,True,boastfulSalt7,done,Delivery,a8d1fb0e0d65327e65df,BTJ,Success,"KUTA ALAM,BANDAACEH",YANG BERSANGKUTAN,D01,1,JOG,COLF01
-7.0518696,109.8277143,2022-11-01 12:24:23 +0700,2022-11-01 12:25:21 +0700,23830,True,pitifulPretzels0,done,Delivery,0f12fd55fe6b49b8ac32,SRG,Success,"BANDAR,BATANG",YANG BERSANGKUTAN,D01,0.1,CGK,COLF01
-7.0209225,109.7850254,2022-11-01 11:38:04 +0700,2022-11-01 19:08:51 +0700,17519,True,pitifulPretzels0,done,Delivery,fd044f136f64e7305101,SRG,Success,"BANDAR,BATANG",YANG BERSANGKUTAN,D01,0.14,CGK,COLF01
-7.0430324,109.8188842,2022-11-01 11:38:04 +0700,2022-11-01 11:41:38 +0700,61506,True,pitifulPretzels0,done,Delivery,f158e5624e383b1f57ac,SRG,Success,"BANDAR,BATANG",YANG BERSANGKUTAN,D01,0.14,CGK,COLF01
