,date_start,date_stop,time_start,time_stop,latitude,longitude,amount,cod_received_status,task_status,flow,branch_destination,task_status_label,task_detail_status_label,task_detail_status,weight,branch_origin,task_status_id,task_assigned_to,task_id,receiver_city,delivery_time
556,2022-11-01,2022-11-01,08:12:30,11:36:11,-7.9542225,112.5878789,166000.0,True,done,Delivery,MXG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,resolvedVenison5,22fac26d4597e981d035,"DAU, KABUPATEN MALAN",203.68333333333334
557,2022-11-01,2022-11-01,08:11:39,10:51:29,-6.9895772,110.1055936,119780.0,True,done,Delivery,SRG,Success,SUAMI/ISTRI/ANAK,D06,1.0,CGK,COLF01,aloofBittern8,ad1c27228e69672a56bf,"RINGINARUM,KENDAL",159.83333333333334
558,2022-11-01,2022-11-01,08:11:39,11:17:47,-6.9698876,110.0931359,116000.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,SOC,COLF01,aloofBittern8,5135948a947a54d1acf2,"RINGINARUM,KENDAL",186.13333333333333
559,2022-11-01,2022-11-01,08:11:39,10:20:58,-7.0149208,110.1080535,348000.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,aloofBittern8,1f5e5b8b689751b23a5f,"RINGINARUM,KENDAL",129.3166666666667
560,2022-11-01,2022-11-01,08:37:40,10:52:18,-6.9632882,110.256491,192000.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,gleefulChough9,4791f440ee5d8a7e73a9,"KALIWUNGU,KENDAL",134.63333333333335
561,2022-11-01,2022-11-01,08:37:40,09:59:03,-6.9652689,110.2766496,228660.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,gleefulChough9,61d2000c53aeb8521154,"KALIWUNGU,KENDAL",81.38333333333334
562,2022-11-01,2022-11-01,08:37:40,10:07:37,-6.9658204,110.2739362,170100.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,gleefulChough9,f3445904156ac3a2044d,"KALIWUNGU,KENDAL",89.95
563,2022-11-01,2022-11-01,08:37:40,09:45:59,-6.967845,110.2844558,159000.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,gleefulChough9,1c437c7bae974758e6fa,"KALIWUNGU,KENDAL",68.31666666666666
564,2022-11-01,2022-11-01,08:37:40,10:35:03,-6.9624767,110.2666032,18500.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,SOC,COLF01,gleefulChough9,4f179480e15ff4647ab1,"KALIWUNGU,KENDAL",117.38333333333334
565,2022-11-01,2022-11-01,08:37:40,10:15:11,-6.9648829,110.2696663,127900.0,True,done,Delivery,SRG,Success,YANG BERSANGKUTAN,D01,1.0,CGK,COLF01,gleefulChough9,0ecf106f5467564d5760,"KALIWUNGU,KENDAL",97.51666666666667
